"Code","Year","Period","Date","Captures","ll","Location","Longitude","Latitude"
"S06221",2021,"Morning","2021-07-16",27,-28.0857078535748,"Inverness",-61.294,46.196
"S06221",2021,"Night","2021-07-16",52,-28.0857078535748,"Inverness",-61.294,46.196
"S04273",2019,"Afternoon","2019-08-01",5,-27.6023981196794,"Baie Comeau",-68.197667,49.138167
"S04273",2019,"Evening","2019-08-01",101,-27.6023981196794,"Baie Comeau",-68.197667,49.138167
"S04273",2019,"Morning","2019-08-01",2,-27.6023981196794,"Baie Comeau",-68.197667,49.138167
"S04273",2019,"Night","2019-08-01",14,-27.6023981196794,"Baie Comeau",-68.197667,49.138167
"S04284",2019,"Afternoon","2019-07-29",1,-27.5281882576673,"Baldwin",-66.1055,48.562
"S04284",2019,"Evening","2019-07-29",26,-27.5281882576673,"Baldwin",-66.1055,48.562
"S04284",2019,"Morning","2019-07-29",48,-27.5281882576673,"Baldwin",-66.1055,48.562
"S04284",2019,"Night","2019-07-29",29,-27.5281882576673,"Baldwin",-66.1055,48.562
"S04284",2019,"Afternoon","2019-07-27",0,-26.3868213745072,"Baldwin",-66.1055,48.562
"S04284",2019,"Evening","2019-07-27",16,-26.3868213745072,"Baldwin",-66.1055,48.562
"S04284",2019,"Morning","2019-07-27",0,-26.3868213745072,"Baldwin",-66.1055,48.562
"S04284",2019,"Night","2019-07-27",NA,-26.3868213745072,"Baldwin",-66.1055,48.562
"S04277",2020,"Afternoon","2020-07-01",0,-26.1659069045394,"Jacquet River",-66.072833,47.844167
"S04277",2020,"Evening","2020-07-01",58,-26.1659069045394,"Jacquet River",-66.072833,47.844167
"S04277",2020,"Morning","2020-07-01",0,-26.1659069045394,"Jacquet River",-66.072833,47.844167
"S04277",2020,"Night","2020-07-01",6,-26.1659069045394,"Jacquet River",-66.072833,47.844167
"S04286",2019,"Afternoon","2019-07-14",1,-25.9822375485499,"Saint Leonard",-67.880167,47.1765
"S04286",2019,"Evening","2019-07-14",6,-25.9822375485499,"Saint Leonard",-67.880167,47.1765
"S04286",2019,"Morning","2019-07-14",4,-25.9822375485499,"Saint Leonard",-67.880167,47.1765
"S04286",2019,"Night","2019-07-14",29,-25.9822375485499,"Saint Leonard",-67.880167,47.1765
"S06221",2021,"Afternoon","2021-07-18",4,-25.7139986838786,"Inverness",-61.294,46.196
"S06221",2021,"Evening","2021-07-18",81,-25.7139986838786,"Inverness",-61.294,46.196
"S06221",2021,"Morning","2021-07-18",0,-25.7139986838786,"Inverness",-61.294,46.196
"S06221",2021,"Night","2021-07-18",42,-25.7139986838786,"Inverness",-61.294,46.196
"S04610",2021,"Afternoon","2021-08-08",59,-25.473325275652,"Zinc Mine Rd",-57.556,50.272
"S04610",2021,"Evening","2021-08-08",37,-25.473325275652,"Zinc Mine Rd",-57.556,50.272
"S04610",2021,"Morning","2021-08-08",9,-25.473325275652,"Zinc Mine Rd",-57.556,50.272
"S04610",2021,"Night","2021-08-08",4,-25.473325275652,"Zinc Mine Rd",-57.556,50.272
"S04267",2020,"Afternoon","2020-07-23",6,-23.7688139647574,"Arseneault",-65.3035,48.374167
"S04267",2020,"Evening","2020-07-23",62,-23.7688139647574,"Arseneault",-65.3035,48.374167
"S04267",2020,"Morning","2020-07-23",NA,-23.7688139647574,"Arseneault",-65.3035,48.374167
"S04267",2020,"Night","2020-07-23",14,-23.7688139647574,"Arseneault",-65.3035,48.374167
"S04284",2021,"Afternoon","2021-07-24",16,-23.6738209312239,"Baldwin",-66.1055,48.562
"S04284",2021,"Evening","2021-07-24",65,-23.6738209312239,"Baldwin",-66.1055,48.562
"S04284",2021,"Morning","2021-07-24",4,-23.6738209312239,"Baldwin",-66.1055,48.562
"S04284",2021,"Night","2021-07-24",2,-23.6738209312239,"Baldwin",-66.1055,48.562
"S04284",2019,"Afternoon","2019-07-22",4,-23.5154532522721,"Baldwin",-66.1055,48.562
"S04284",2019,"Evening","2019-07-22",101,-23.5154532522721,"Baldwin",-66.1055,48.562
